algorithm_name,env_n,size,best_solution,H,states,time
SA,16,10,"[0, 5, 3, 8, 3, 7, 9, 1, 6, 4]",1,153,0.002744
SA,17,10,"[5, 8, 4, 3, 0, 9, 1, 5, 7, 2]",2,153,0.002825
SA,18,10,"[5, 0, 4, 9, 7, 2, 2, 8, 3, 1]",2,153,0.002637
SA,19,10,"[7, 1, 3, 8, 0, 4, 8, 5, 2, 6]",1,153,0.002646
SA,20,10,"[3, 7, 9, 4, 2, 0, 8, 6, 1, 5]",1,153,0.007015
SA,21,10,"[6, 1, 6, 8, 7, 2, 7, 9, 4, 0]",3,153,0.004494
SA,22,10,"[0, 2, 8, 5, 7, 1, 3, 9, 6, 4]",1,153,0.002774
SA,23,10,"[8, 4, 1, 9, 0, 6, 1, 3, 5, 7]",2,153,0.002695
SA,24,10,"[7, 0, 2, 8, 6, 9, 2, 5, 1, 4]",1,153,0.002918
SA,25,10,"[6, 9, 2, 5, 8, 3, 7, 4, 1, 8]",2,153,0.002663
SA,26,10,"[0, 6, 9, 5, 2, 0, 7, 3, 1, 8]",1,153,0.003322
SA,27,10,"[2, 0, 5, 9, 8, 1, 4, 1, 3, 6]",2,153,0.003227
SA,28,10,"[7, 4, 6, 0, 5, 1, 5, 9, 2, 3]",2,153,0.004995
SA,29,10,"[5, 9, 4, 1, 7, 2, 8, 6, 0, 9]",2,153,0.004564
SA,30,10,"[1, 5, 0, 8, 6, 0, 3, 7, 4, 9]",2,153,0.005622
