algorithm_name,env_n,size,best_solution,H,states,time
GA,13,10,"[9, 4, 1, 7, 0, 3, 6, 8, 5, 2]",0,2600,0.051837
GA,14,10,"[0, 5, 3, 8, 6, 2, 9, 1, 4, 7]",0,2400,0.047116
GA,15,10,"[3, 9, 2, 5, 8, 1, 7, 4, 6, 0]",0,1300,0.033850
GA,16,10,"[3, 7, 4, 8, 0, 9, 6, 2, 5, 1]",0,2600,0.065105
GA,17,10,"[4, 6, 1, 9, 5, 0, 9, 3, 8, 2]",1,5000,0.109580
GA,18,10,"[5, 3, 6, 9, 4, 1, 7, 0, 2, 8]",1,5000,0.098403
GA,19,10,"[6, 4, 2, 0, 6, 9, 7, 1, 3, 8]",1,5000,0.097537
GA,20,10,"[5, 7, 1, 4, 0, 8, 3, 9, 6, 2]",0,2900,0.164337
GA,21,10,"[5, 8, 0, 7, 3, 1, 6, 9, 2, 4]",1,5000,0.140458
GA,22,10,"[7, 3, 1, 5, 2, 8, 6, 4, 9, 0]",1,5000,0.158805
GA,23,10,"[8, 2, 5, 7, 9, 1, 6, 4, 7, 0]",1,5000,0.120816
GA,24,10,"[5, 8, 1, 9, 7, 2, 0, 3, 6, 4]",0,3300,0.073700
GA,25,10,"[1, 3, 6, 8, 2, 4, 9, 0, 5, 9]",1,5000,0.099216
GA,26,10,"[3, 6, 9, 2, 5, 1, 4, 7, 0, 6]",1,5000,0.110517
GA,27,10,"[7, 3, 8, 0, 2, 6, 9, 1, 1, 5]",1,5000,0.201333
GA,28,10,"[8, 6, 1, 9, 2, 0, 7, 4, 1, 5]",1,5000,0.137523
GA,29,10,"[9, 0, 4, 7, 1, 6, 2, 0, 8, 3]",1,5000,0.128983
GA,30,10,"[6, 3, 1, 4, 8, 0, 9, 7, 5, 2]",0,1800,0.067750
HC,1,4,"[1, 3, 2, 0]",1,12,0.000333
HC,2,4,"[3, 1, 0, 2]",1,12,0.000327
HC,3,4,"[1, 0, 2, 3]",2,13,0.000157
HC,4,4,"[1, 2, 0, 3]",1,12,0.000142
HC,5,4,"[1, 2, 0, 3]",1,13,0.000156
HC,6,4,"[1, 3, 2, 0]",1,12,0.000284
HC,7,4,"[2, 1, 3, 0]",1,12,0.000215
HC,8,4,"[0, 2, 3, 1]",1,13,0.000166
HC,9,4,"[3, 0, 2, 1]",1,13,0.000157
HC,10,4,"[0, 3, 3, 0]",2,12,0.000146
HC,11,4,"[0, 0, 3, 1]",1,14,0.000166
HC,12,4,"[3, 0, 2, 1]",1,13,0.000166
HC,13,4,"[0, 2, 3, 1]",1,13,0.000159
HC,14,4,"[3, 1, 0, 2]",1,13,0.000150
HC,15,4,"[3, 0, 2, 1]",1,12,0.000152
HC,16,4,"[0, 3, 0, 2]",1,14,0.000159
HC,17,4,"[3, 0, 2, 1]",1,14,0.000165
HC,18,4,"[0, 1, 3, 2]",2,13,0.000157
HC,19,4,"[2, 0, 1, 3]",1,12,0.000143
HC,20,4,"[1, 3, 0, 2]",0,12,0.000137
HC,21,4,"[0, 3, 0, 2]",1,14,0.000227
HC,22,4,"[1, 2, 0, 3]",1,13,0.000175
HC,23,4,"[3, 1, 0, 2]",1,13,0.000142
HC,24,4,"[3, 0, 2, 1]",1,14,0.000163
HC,25,4,"[3, 1, 0, 2]",1,13,0.000140
HC,26,4,"[2, 1, 3, 0]",1,12,0.000131
HC,27,4,"[3, 0, 2, 1]",1,13,0.000141
HC,28,4,"[0, 2, 3, 1]",1,13,0.000142
HC,29,4,"[1, 3, 2, 0]",1,13,0.000138
HC,30,4,"[2, 3, 1, 0]",2,13,0.000135
HC,1,8,"[5, 1, 4, 0, 0, 3, 7, 2]",1,61,0.000840
HC,2,8,"[7, 1, 3, 5, 2, 4, 0, 3]",2,57,0.000817
HC,3,8,"[6, 3, 5, 7, 2, 0, 7, 4]",2,57,0.000790
HC,4,8,"[0, 3, 0, 6, 7, 2, 4, 1]",3,59,0.000805
HC,5,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,58,0.000829
HC,6,8,"[1, 7, 4, 6, 0, 2, 5, 5]",1,57,0.001520
HC,7,8,"[2, 3, 6, 4, 1, 1, 5, 7]",2,57,0.000785
HC,8,8,"[3, 5, 6, 1, 4, 7, 0, 2]",3,58,0.000790
HC,9,8,"[1, 6, 4, 0, 2, 0, 5, 7]",2,59,0.000856
HC,10,8,"[0, 5, 2, 6, 3, 7, 7, 4]",2,58,0.000795
HC,11,8,"[4, 0, 5, 3, 1, 7, 2, 2]",1,60,0.000904
HC,12,8,"[1, 3, 5, 0, 2, 0, 5, 7]",2,60,0.000900
HC,13,8,"[1, 4, 1, 7, 0, 3, 6, 2]",1,61,0.000876
HC,14,8,"[5, 0, 0, 6, 4, 1, 7, 4]",2,60,0.000840
HC,15,8,"[4, 7, 5, 1, 6, 6, 0, 2]",2,57,0.000794
HC,16,8,"[5, 1, 1, 6, 6, 3, 7, 0]",2,58,0.000807
HC,17,8,"[6, 3, 6, 0, 7, 4, 1, 5]",1,59,0.000869
HC,18,8,"[4, 1, 7, 0, 6, 3, 5, 0]",1,59,0.000817
HC,19,8,"[7, 1, 3, 0, 6, 4, 2, 5]",0,58,0.000790
HC,20,8,"[7, 4, 1, 5, 2, 0, 3, 6]",2,58,0.000830
HC,21,8,"[0, 0, 6, 4, 1, 3, 7, 2]",3,59,0.000844
HC,22,8,"[0, 3, 3, 7, 2, 2, 5, 1]",2,57,0.000804
